"","care_group","CH","ADC","ECH","MHH","ownership"
"1856","Rayners  Extra Care Home  Ltd","   1    ","       ","   1    ","       ","P"
"1857","Raynsford Cheltenham Ltd","   2    ","       ","       ","       ","P"
"1858","Rayson Homes Ltd","   2    ","       ","       ","       ","P"
"1859","Reach Ltd","   8    ","       ","       ","       ","P"
"1860","React Support Services Ltd","   2    ","       ","       ","       ","P"
"1861","Reading Borough Council","   3    ","       ","       ","       ","L"
"1862","Real Life Options","   27   ","   1    ","       ","       ","V"
"1863","Really Flexible Care Ltd","   4    ","       ","       ","       ","P"
"1864","Reason Care Ltd","   5    ","       ","       ","       ","P"
"1865","Red Homes Healthcare Group","   4    ","       ","       ","       ","P"
"1866","Redwood Care Homes Ltd","   6    ","       ","       ","       ","P"
"1867","Redwood Healthcare Ltd","   7    ","       ","       ","       ","P"
"1868","Redwoods Caring Foundation","   2    ","       ","       ","       ","V"
"1869","Reed Care Homes Ltd","   2    ","       ","       ","       ","P"
"1870","Regal Care Ltd","   3    ","       ","       ","       ","P"
"1871","Regal Care Trading Ltd","   17   ","       ","       ","       ","P"
"1872","The Regard Partnership","   72   ","   1    ","   61   ","       ","P"
"1873","Regency Healthcare","   7    ","       ","       ","       ","P"
"1874","Regenda Group","       ","       ","   2    ","       ","V"
"1875","Regents Park Ltd","   4    ","       ","       ","       ","P"
"1876","Relativeto Ltd","   2    ","       ","       ","       ","P"
"1877","Reliance Care Homes Ltd","   2    ","       ","       ","       ","P"
"1878","Renaissance Care  Scotland  Ltd","   11   ","       ","       ","       ","P"
"1879","Renfrewshire Council","   4    ","   5    ","       ","       ","L"
"1880","Reside Care Homes Ltd","   2    ","       ","       ","       ","P"
"1881","Residential Care Services Ltd","   6    ","       ","       ","       ","P"
"1882","Residential Community Care Ltd","   3    ","       ","       ","       ","P"
"1883","Residential Community Care Services Ltd","   4    ","       ","       ","       ","P"
"1884","Resolve Care Northern Ltd","   2    ","       ","       ","       ","P"
"1885","Respite Fife Ltd","   2    ","       ","       ","       ","V"
"1886","Respite  North West  Ltd","   2    ","       ","       ","       ","P"
"1887","Retail Trust","   1    ","       ","   4    ","       ","V"
"1888","Rethink","   23   ","       ","       ","       ","V"
"1889","Retirement Security Ltd","       ","       ","   32   ","       ","P"
"1890","Retirement Villages Ltd","   11   ","       ","   8    ","       ","P"
"1891","Revitalise Respite Holidays","   4    ","       ","       ","       ","V"
"1892","Rex Develop Ltd","   2    ","       ","       ","       ","P"
"1893","Rhodes Care Home Ltd","   2    ","       ","       ","       ","P"
"1894","Rhodsac Community Living Ltd","   2    ","       ","       ","       ","P"
"1895","Rhondda Cynon Taff County Borough Council","   16   ","   5    ","       ","       ","L"
"1896","Rhymecare Ltd","   2    ","       ","       ","       ","P"
"1897","Richardson Partnership for Care","   4    ","       ","       ","       ","P"
"1898","London Borough of Richmond upon Thames","   1    ","   4    ","       ","       ","L"
"1899","Richmond Court Nursing Home Ltd","   2    ","       ","       ","       ","P"
"1900","Richmond Fellowship","   5    ","       ","       ","       ","V"
"1901","The Richmond Fellowship Scotland Ltd","   15   ","       ","       ","       ","V"
"1902","Richmond Homes for Life Trust","   2    ","       ","       ","       ","V"
"1903","Richmond Psychosocial Foundation International","   3    ","       ","       ","       ","V"
"1904","Richmond Villages","   7    ","       ","   7    ","       ","P"
"1905","Ridgewood Care Services","   2    ","       ","   2    ","       ","P"
"1906","Risedale Estates Ltd","   6    ","       ","       ","       ","P"
"1907","Riseley Beds Ltd","   1    ","   1    ","       ","       ","P"
"1908","Riverbank Care Ltd","   2    ","       ","       ","       ","P"
"1909","The Riverside Group Ltd","       ","       ","   4    ","       ","V"
"1910","Riverwood Housing Ltd","   3    ","       ","       ","       ","P"
"1911","Robert Owen Communities","   3    ","       ","       ","       ","V"
"1912","Diane Roberts","   2    ","       ","       ","       ","P"
"1913","Roberts Homes Care  North Wales  Ltd","   2    ","       ","       ","       ","P"
"1914","Kathryn Lynne Roberts","   2    ","       ","       ","       ","P"
"1915","Mr   Mrs M J Roberts","   2    ","       ","       ","       ","P"
"1916","RochCare  UK  Ltd","   3    ","       ","       ","       ","P"
"1917","Roche Healthcare Ltd","   7    ","       ","       ","       ","P"
"1918","Rockdale Housing Association","   1    ","       ","   1    ","       ","V"
"1919","Rockley Dene Care Home Ltd","   2    ","       ","       ","       ","P"
"1920","Roland Residential Care Homes Ltd","   5    ","       ","       ","       ","P"
"1921","Rooks  Care Homes  Ltd","   2    ","       ","       ","       ","P"
"1922","Roseberry Care Centres UK Ltd","   18   ","       ","       ","       ","P"
"1923","Rosecroft Care Ltd","   2    ","       ","       ","       ","P"
"1924","Roselock Ltd","   4    ","       ","       ","       ","P"
"1925","Rosemere Care Homes Ltd","   3    ","       ","       ","       ","P"
"1926","Rosenmanor Ltd","   6    ","       ","       ","       ","P"
"1927","Roseville Care Homes Ltd","   5    ","       ","       ","       ","P"
"1928","Rosewood Healthcare Ltd","   8    ","       ","       ","       ","P"
"1929","Rosturk House Ltd","   3    ","       ","       ","       ","P"
"1930","Rotherham Doncaster and South Humber NHS Trust","   3    ","       ","       ","       ","N"
"1931","Rotherham Metropolitan Borough Council","   6    ","       ","   1    ","       ","L"
"1932","Rotherwood Group","   6    ","       ","       ","       ","P"
"1933","Roughan Care Ltd","   2    ","       ","       ","       ","P"
"1934","Royal Agricultural Benevolent Institution","   2    ","       ","   2    ","       ","V"
"1935","Royal Alfred Seafarers  Society","   1    ","       ","   1    ","       ","V"
"1936","Royal Bay Care Homes Ltd","   8    ","       ","   2    ","       ","P"
"1937","Royal Blind","   2    ","       ","       ","       ","V"
"1938","Royal British Legion Industries Ltd","   1    ","       ","   1    ","       ","V"
"1939","Royal British Legion","   6    ","       ","       ","       ","V"
"1940","Royal Masonic Benevolent Institution Care Company","   18   ","   1    ","   1    ","       ","V"
"1941","The Royal Star   Garter Homes","   2    ","       ","       ","       ","V"
"1942","Runwood Homes Ltd","   66   ","   13   ","       ","       ","P"
"1943","Rushcliffe Care Ltd","   21   ","       ","       ","       ","P"
"1944","Russley Care Homes","   2    ","       ","       ","       ","P"
"1945","Ryde House Homes Ltd","   5    ","       ","       ","       ","P"
"1946","S C L Care Ltd","   2    ","       ","       ","       ","P"
"1947","S E L F Ltd","   3    ","       ","       ","       ","P"
"1948","S E S Care Homes Ltd","   3    ","       ","       ","       ","P"
"1949","S F I Care Homes","   3    ","       ","       ","       ","P"
"1950","S J Care Homes  Wallasey  Ltd","   2    ","       ","       ","       ","P"
"1951","S K Care Homes Ltd","   2    ","       ","       ","       ","P"
"1952","S P C","   3    ","       ","       ","       ","P"
"1953","S S B Care Homes Ltd","   2    ","       ","       ","       ","P"
"1954","S   S Care Ltd","   3    ","       ","       ","       ","P"
"1955","S S L Healthcare Ltd","   4    ","       ","       ","       ","P"
"1956","Safe Harbor","   7    ","       ","       ","       ","P"
"1957","Safe Harbour","   2    ","       ","       ","       ","P"
"1958","Safequarter Ltd","   2    ","       ","       ","       ","P"
"1959","Saffronland Homes Ltd","   13   ","       ","       ","       ","P"
"1960","Sage Care Homes Ltd","   8    ","       ","       ","       ","P"
"1961","Sahara Care Ltd","   4    ","       ","   1    ","       ","P"
"1962","St Andrews Care Homes Ltd","   2    ","       ","       ","       ","P"
"1963","St Andrew s Healthcare","       ","       ","       ","   7    ","V"
"1964","St Anne s Community Services","   32   ","       ","       ","       ","V"
"1965","St Anne s Opportunity Centre Ltd","   2    ","       ","       ","       ","V"
"1966","St Brelades Retirement Homes Ltd","   2    ","       ","       ","       ","P"
"1967","St Bridget s Care Group","   2    ","       ","       ","       ","P"
"1968","St Cloud Care Ltd","   6    ","       ","       ","       ","P"
"1969","St Cuthbert s Care","   4    ","   1    ","       ","       ","V"
"1970","St Davids Care in the Community","   6    ","       ","       ","       ","V"
"1971","St George s Hospital Ltd","   1    ","       ","       ","   2    ","P"
"1972","St George s  Liverpool  Ltd","   1    ","       ","       ","   1    ","P"
"1973","St John of God Hospitaller Services","   11   ","       ","       ","       ","V"
"1974","St John s School   College","   3    ","       ","       ","       ","V"
"1975","St John s Winchester Charity","   2    ","       ","   1    ","       ","V"
"1976","St Joseph s Service","   1    ","       ","   1    ","       ","V"
"1977","St Martins Care Ltd","   6    ","       ","       ","       ","P"
"1978","St Martins of Tours Housing Association Ltd","   3    ","       ","       ","       ","P"
"1979","St Matthews Ltd","   6    ","       ","       ","   1    ","P"
"1980","St Michael s Care Homes Ltd","   2    ","       ","       ","       ","P"
"1981","St Michael s Homes Ltd","   2    ","       ","       ","       ","P"
"1982","St Monica Trust","   3    ","   1    ","   7    ","       ","V"
"1983","St Mungo Community Housing Association","   2    ","       ","   1    ","       ","V"
"1984","St Philips Care Group","   28   ","       ","       ","       ","P"
"1985","St Quentin Residential Home Ltd","   2    ","       ","       ","       ","P"
"1986","St Vincent Care Homes Ltd","   4    ","       ","       ","       ","P"
"1987","St Vincent s Housing Association Ltd","       ","       ","   2    ","       ","V"
"1988","Saivan Care Services Ltd","   4    ","       ","       ","       ","P"
"1989","Salisbury City Almshouses   Welfare Charities","       ","       ","   2    ","       ","V"
"1990","Salters Hill Charity Ltd","   2    ","       ","       ","       ","V"
"1991","The Salvation Army","   13   ","   1    ","       ","       ","V"
"1992","Samily Care Ltd","   2    ","       ","       ","       ","P"
"1993","Sanctuary Care Ltd","   70   ","       ","       ","       ","V"
"1994","Sanctuary Extra Care","       ","       ","   30   ","       ","V"
"1995","Sanctuary Supported Living","   21   ","       ","   11   ","       ","V"
"1996","Sandford House Ltd","   3    ","       ","       ","       ","P"
"1997","Sandwell Community Caring Trust","   5    ","       ","       ","       ","V"
"1998","Sandwell Metropolitan Borough Council","   1    ","   3    ","   3    ","       ","L"
"1999","Sandylane Ltd","   2    ","       ","       ","       ","P"
"2000","Santa Care Homes","   3    ","       ","       ","       ","P"
"2001","Sanville","   2    ","       ","       ","       ","P"
"2002","Satash Community Care Project Ltd","   2    ","       ","       ","       ","P"
"2003","Mrs Jayashree Sawmynaden","   3    ","       ","       ","       ","P"
"2004","Saxlingham Hall Nursing Home Ltd","   2    ","       ","       ","       ","P"
"2005","Saxon Weald","       ","       ","   10   ","       ","V"
"2006","Scimitar Care Hotels plc","   6    ","       ","       ","       ","P"
"2007","Scio Healthcare Ltd","   3    ","       ","   1    ","       ","P"
"2008","Scope  Head Office","   30   ","       ","       ","       ","V"
"2009","Mr   Mrs D Scott","   2    ","       ","       ","       ","P"
"2010","W Scott","   2    ","       ","       ","       ","P"
"2011","Scottish Association for Mental Health","   14   ","       ","       ","       ","V"
"2012","Scottish Autism","   6    ","       ","       ","       ","V"
"2013","Scottish Borders Council","   5    ","   15   ","       ","       ","L"
"2014","Seabank Care Ltd","   2    ","       ","       ","       ","P"
"2015","Seabank House Committee","   2    ","       ","       ","       ","V"
"2016","Seaford Care Ltd","   2    ","       ","       ","       ","P"
"2017","Seaham Care Ltd","   2    ","       ","       ","       ","P"
"2018","The Seckford Foundation","   1    ","   1    ","   1    ","       ","V"
"2019","SeeAbility","   11   ","       ","   1    ","       ","V"
"2020","Mr   Mrs B I Seedeehul","   2    ","       ","       ","       ","P"
"2021","Mrs S Seedheeyan","   3    ","       ","       ","       ","P"
"2022","Tamby Seeneevassen","   2    ","       ","       ","       ","P"
"2023","Sefton New Directions Ltd","   4    ","       ","       ","       ","P"
"2024","Selborne Care Ltd","   7    ","       ","       ","       ","P"
"2025","Select Healthcare","   22   ","       ","       ","       ","P"
"2026","Select Lifestyles Ltd","   2    ","       ","       ","       ","P"
"2027","Senad Group","   7    ","       ","       ","       ","P"
"2028","Senex Ltd","   2    ","       ","       ","       ","P"
"2029","Sense","   20   ","       ","       ","       ","V"
"2030","Sense","   3    ","       ","       ","       ","V"
"2031","Sense","   22   ","       ","       ","       ","V"
"2032","Sense   North","   2    ","       ","       ","       ","V"
"2033","Sense   Scotland","   4    ","       ","       ","       ","V"
"2034","Sentimental Care Ltd","   4    ","       ","       ","       ","P"
"2035","Sentinel Health Care","   5    ","       ","   1    ","       ","P"
"2036","Sentinel Housing Association","       ","       ","   2    ","       ","V"
"2037","Sequence Care Ltd","   11   ","       ","       ","   2    ","P"
"2038","Serenity Homes Ltd","   3    ","       ","       ","       ","P"
"2039","Seva Care Group","   1    ","   2    ","       ","       ","P"
"2040","Seva Healthcare","   3    ","       ","       ","       ","P"
"2041","Seymour House Residential Care Homes Ltd","   2    ","       ","       ","       ","P"
"2042","Shaftesbury Care Group","   7    ","   1    ","       ","       ","P"
"2043","Ramnarain Sham","   2    ","       ","       ","       ","P"
"2044","Shamrock Villas Ltd","   2    ","       ","       ","       ","P"
"2045","Shankar Leicester Ltd","   2    ","       ","       ","       ","P"
"2046","Sharob Care Ltd","   3    ","       ","       ","       ","P"
"2047","Shaw Healthcare","   54   ","   1    ","   3    ","   2    ","P"
"2048","SheffCare Ltd","   10   ","   5    ","       ","       ","V"
"2049","Sheffield Health   Social Care NHS Foundation Trust","   4    ","       ","       ","       ","N"
"2050","Shelley Park Ltd","   3    ","       ","       ","       ","P"
"2051","Shelphen Care Ltd","   2    ","       ","       ","       ","P"
"2052","Shelton Care Ltd","   4    ","       ","       ","       ","P"
"2053","Sherburn House Charity","   1    ","       ","   1    ","       ","V"
"2054","Sheridan Care Ltd","   2    ","       ","       ","       ","P"
"2055","Shervey Ltd  Golfhill","   5    ","       ","       ","       ","P"
"2056","Shetland Islands Council","   9    ","   7    ","   2    ","       ","L"
"2057","Sheval Ltd","   2    ","       ","       ","       ","P"
"2058","Shire Care Homes Ltd","   4    ","       ","       ","       ","P"
"2059","Shropshire Council","   1    ","   3    ","       ","       ","L"
"2060","Sign Health","   5    ","       ","       ","       ","V"
"2061","Signature Senior Lifestyle Ltd","   13   ","   1    ","   5    ","       ","P"
"2062","Silk Healthcare Ltd","   4    ","   1    ","       ","       ","P"
"2063","Mr   Mrs Frank Silva","   3    ","       ","       ","       ","P"
"2064","Silver Healthcare Ltd","   3    ","       ","       ","       ","P"
"2065","Silvercrest Care","   4    ","       ","       ","       ","P"
"2066","Silverdale Care Homes Ltd","   3    ","       ","       ","       ","P"
"2067","Silverfield Care Management","   2    ","       ","       ","       ","P"
"2068","Silverline Care","   7    ","       ","       ","       ","P"
"2069","Pauline Simpson","   2    ","       ","       ","       ","P"
"2070","Sir Josiah Mason Trust","   1    ","       ","   1    ","       ","V"
"2071","Sirona Care   Health","   2    ","   1    ","       ","       ","V"
"2072","Dr R Sisodia","   2    ","       ","       ","       ","P"
"2073","Sisters Hospitallers of the Sacred Heart of Jesus","   3    ","       ","       ","       ","V"
"2074","Sisters of Charity of St Paul the Apostle","   2    ","       ","       ","       ","V"
"2075","Sisters of Charity of St Vincent De Paul","   4    ","       ","       ","       ","V"
"2076","Sisters of Mercy","   3    ","       ","       ","       ","V"
"2077","Mrs R Siva","   2    ","       ","       ","       ","P"
"2078","Sarah J Slack","   2    ","       ","       ","       ","P"
"2079","Slough Borough Council","   2    ","   5    ","       ","       ","L"
"2080","Smallwood Homes Ltd","   2    ","       ","       ","       ","P"
"2081","Mr   Mrs R Smart","   3    ","       ","       ","       ","P"
"2082","Donald Smith","   5    ","       ","       ","       ","P"
"2083","Social Responsibility Investments Ltd","   2    ","       ","       ","   1    ","P"
"2084","Society of Christ  GB","   2    ","       ","       ","       ","V"
"2085","Society of the Sacred Heart","   2    ","       ","       ","       ","V"
"2086","Sohal Healthcare Ltd","   7    ","       ","       ","       ","P"
"2087","Solar Care Homes Ltd","   3    ","       ","       ","       ","P"
"2088","Solden Hill House Ltd","   2    ","       ","       ","       ","V"
"2089","Solehawk Ltd","   3    ","       ","       ","       ","P"
"2090","Solihull Metropolitan Borough Council","   9    ","   3    ","       ","       ","L"
"2091","Somerset Care Ltd","   30   ","       ","       ","       ","V"
"2092","Somerset County Council  LD Services","   18   ","       ","       ","       ","L"
"2093","Somerset Redstone Trust","   5    ","       ","   4    ","       ","V"
"2094","Sonnet Care Homes  Essex  Ltd","   2    ","       ","       ","       ","P"
"2095","South Ayrshire Council","   3    ","       ","       ","       ","L"
"2096","South Coast Nursing Homes Ltd","   8    ","       ","       ","       ","P"
"2097","South Eastern Health   Social Care Trust","   9    ","   7    ","       ","       ","N"
"2098","South Essex Homes","       ","       ","   2    ","       ","V"
"2099","South Essex Special Needs Housing Association Ltd","   2    ","       ","       ","       ","P"
"2100","South Gloucestershire Council","   2    ","       ","       ","       ","L"
"2101","South Lanarkshire Council","   8    ","   21   ","   1    ","       ","L"
"2102","South London   Maudsley NHS Foundation Trust","   3    ","       ","       ","       ","N"
"2103","South Tyneside Metropolitan Borough Council","   1    ","       ","   2    ","       ","L"
"2104","South West Care Homes Ltd","   10   ","       ","   1    ","       ","P"
"2105","South Yorkshire Care Ltd","   4    ","       ","       ","       ","P"
"2106","South Yorkshire Housing Association Ltd","   11   ","       ","   6    ","       ","V"
"2107","Southampton City Council","   4    ","       ","   2    ","       ","L"
"2108","Southcare Homes","   7    ","       ","       ","       ","P"
"2109","Southdown Housing Association Ltd","   6    ","       ","   1    ","       ","V"
"2110","Southend on Sea Borough Council","   2    ","       ","       ","       ","L"
"2111","The Southend On Sea Darby   Joan Organisation Ltd","   2    ","       ","       ","       ","V"
"2112","Southern Health and Social Care Trust","   5    ","   13   ","       ","       ","N"
"2113","Southern Health NHS Foundation Trust","   9    ","       ","       ","       ","N"
"2114","Southern Healthcare  Wessex  Ltd","   4    ","       ","       ","       ","P"
"2115","Southern Housing Group Ltd","   2    ","       ","   2    ","       ","P"
"2116","Southside Care Group","   4    ","       ","       ","       ","P"
"2117","Southside Partnership","   7    ","       ","       ","       ","V"
"2118","London Borough of Southwark","   1    ","   3    ","   1    ","       ","L"
"2119","Southwark Park Nursing Home Ltd","   2    ","       ","       ","       ","P"
"2120","Sovereign Care Ltd","   3    ","       ","       ","       ","P"
"2121","Sovereign Solutions Care Services","   5    ","       ","       ","       ","P"
"2122","Spa Nursing Homes Ltd","   6    ","       ","       ","       ","P"
"2123","Mr   Mrs D E   J Spanswick Smith","   2    ","       ","       ","       ","P"
"2124","Richard Speck","   2    ","       ","       ","       ","P"
"2125","Spectrum  Devon and Cornwall Autistic Community Trust","   19   ","       ","       ","       ","V"
"2126","Spectrum Signpost Homes","       ","       ","   2    ","       ","V"
"2127","Spelthorne Borough Council","       ","   4    ","       ","       ","L"
"2128","Spring View Care Ltd","   2    ","       ","       ","       ","P"
"2129","Springcare Ltd","   14   ","       ","       ","       ","P"
"2130","Springdene Nursing   Care Homes Ltd","   3    ","       ","       ","       ","P"
"2131","Springfield Health Services","   2    ","       ","       ","       ","P"
"2132","Springfield Residential Home Ltd","   1    ","       ","   1    ","       ","P"
"2133","Springfields","   2    ","       ","       ","       ","P"
"2134","Springhill Care Group","   3    ","       ","       ","       ","P"
"2135","Stable Family Home Trust","   4    ","       ","       ","       ","V"
"2136","Staffordshire Care Ltd","   2    ","       ","       ","       ","P"
"2137","Staffordshire County Council","   4    ","       ","       ","       ","L"
"2138","Staffordshire Housing Association","       ","       ","   2    ","       ","V"
"2139","Standwalk Ltd","   3    ","       ","       ","       ","P"
"2140","Stanley House Ltd","   2    ","       ","       ","       ","P"
"2141","Stanmore Care Homes Ltd","   2    ","       ","       ","       ","P"
"2142","Step A Side Care Ltd","   2    ","       ","       ","       ","P"
"2143","Stephen Geach English Oak Care Homes","   2    ","       ","       ","       ","P"
"2144","Stepping Stone Independent Living Ltd","   2    ","       ","       ","       ","P"
"2145","Stepping Stones Care Home  Phoenix House  Ltd","   4    ","       ","       ","       ","P"
"2146","Stepping Stones Resettlement Unit Ltd","   5    ","       ","       ","       ","P"
"2147","Stirling Council","   4    ","       ","       ","       ","L"
"2148","Stockport Metropolitan Borough Council","   1    ","   1    ","       ","       ","L"
"2149","Stocks Hall Care Homes Ltd","   6    ","       ","       ","       ","P"
"2150","Stockton on Tees Borough Council","   2    ","   1    ","       ","       ","L"
"2151","Stoke on Trent City Council","   2    ","       ","       ","       ","L"
"2152","Stonehaven Care Group","   9    ","       ","       ","       ","P"
"2153","Stoneleigh Care Homes Ltd","   4    ","       ","       ","       ","P"
"2154","Sarah Storey","   2    ","       ","       ","       ","P"
"2155","Stour Valley Care Group","   2    ","       ","       ","       ","P"
"2156","Stowcare Ltd","   2    ","       ","       ","       ","P"
"2157","Stowlangtoft Healthcare LLP","   2    ","       ","       ","       ","P"
"2158","Stratford Bentley Ltd","   2    ","       ","       ","       ","P"
"2159","Strathmore Care","   4    ","       ","       ","       ","P"
"2160","Streetscene","   3    ","       ","       ","       ","V"
"2161","Strode Park Foundation for Disabled People","   5    ","       ","       ","       ","V"
"2162","Strong Life Care Ltd","   4    ","       ","       ","       ","P"
"2163","Stroud Care Services Ltd","   3    ","       ","       ","       ","P"
"2164","Stroud   District Homes Foundation","   2    ","       ","       ","       ","V"
"2165","Stroud District Council","       ","       ","   2    ","       ","L"
"2166","Sudera Care Associates","   3    ","       ","       ","       ","P"
"2167","Sue Ryder","   5    ","   1    ","       ","       ","V"
"2168","SummerCare Ltd","   4    ","   1    ","   7    ","       ","P"
"2169","The Summerhill Group","   9    ","       ","       ","       ","P"
"2170","Sun Care Homes Ltd","   6    ","       ","   1    ","       ","P"
"2171","Sun Healthcare Ltd","   5    ","       ","       ","       ","P"
"2172","Sunderland City Council","   23   ","   1    ","       ","       ","L"
"2173","Sunflower Healthcare","   5    ","       ","       ","       ","P"
"2174","Sunrise Care Homes Ltd","   2    ","       ","       ","       ","P"
"2175","Sunrise Care Ltd","   2    ","       ","       ","       ","P"
"2176","Sunrise Mental Health Ltd","   3    ","       ","       ","       ","P"
"2177","Sunrise Senior Living","   27   ","       ","       ","       ","P"
"2178","Support for Living Ltd","   15   ","       ","       ","       ","V"
"2179","Supreme Care Services Ltd","   5    ","       ","       ","       ","P"
"2180","Surecare  UK  Ltd","   4    ","       ","       ","       ","P"
"2181","Sureplan Homes Ltd","   2    ","       ","       ","       ","P"
"2182","Surrey   Borders Partnership NHS Foundation Trust","   13   ","       ","       ","       ","N"
"2183","Surrey County Council","   9    ","       ","       ","       ","L"
"2184","Surrey Rest Homes Ltd","   4    ","       ","       ","       ","P"
"2185","Susash London Ltd","   2    ","       ","       ","       ","P"
"2186","Sussex Healthcare","   19   ","       ","       ","       ","P"
"2187","Sussex Housing   Care  SHC","   4    ","       ","       ","       ","V"
"2188","Sussex Oakleaf Housing Association Ltd","   4    ","       ","       ","       ","V"
"2189","London Borough of Sutton Council","       ","   3    ","       ","       ","L"
"2190","Sutton Court Nursing Home Ltd","   6    ","       ","       ","       ","P"
"2191","Sutton Nursing Homes Ltd","   2    ","       ","       ","       ","P"
"2192","Mr   Mrs Kenneth Swales and Mr   Mrs Andre P Swales","   2    ","       ","       ","       ","P"
"2193","Swallowcourt Ltd","   6    ","       ","       ","       ","P"
"2194","Swansea City   County Council","   12   ","       ","       ","       ","L"
"2195","Swanton Care   Community Ltd","   23   ","       ","   1    ","       ","P"
"2196","Swindon Borough Council","   1    ","       ","   1    ","       ","L"
"2197","Sycamore Care Ltd","   5    ","       ","       ","       ","P"
"2198","Synergy Housing","       ","       ","   8    ","       ","V"
"2199","TKSD Care Homes and Training Ltd","   3    ","       ","       ","       ","P"
"2200","T L C Care Homes Ltd","   5    ","       ","   1    ","       ","P"
"2201","T L C Group Ltd","   7    ","       ","       ","       ","P"
"2202","T L Care  Havering  Ltd","   2    ","       ","       ","       ","P"
"2203","TRU  Transitional Rehabilitation Unit  Ltd","   4    ","       ","       ","       ","P"
"2204","Tabs 42 Ltd","   2    ","       ","       ","       ","P"
"2205","Talbot Association Ltd","   2    ","       ","       ","       ","V"
"2206","Tall Trees Care Group","   2    ","       ","       ","       ","P"
"2207","Tameside Metropolitan Borough Council","       ","   2    ","       ","       ","L"
"2208","Tanglewood Care Homes","   5    ","       ","       ","       ","P"
"2209","Tan yr Allt House Ltd","   2    ","       ","       ","       ","P"
"2210","Taunton Deane Borough Council","       ","       ","   2    ","       ","L"
"2211","Tealk Services Ltd","   4    ","       ","       ","       ","P"
"2212","Tees Esk   Wear Valleys NHS Foundation Trust","   2    ","       ","       ","       ","N"
"2213","Tees Valley Housing","       ","       ","   2    ","       ","P"
"2214","Thera Trust","   2    ","       ","       ","       ","V"
"2215","Third Life Care Ltd","   3    ","       ","       ","       ","P"
"2216","Thistle Healthcare Ltd","   12   ","       ","       ","       ","P"
"2217","Thomas Owen Care Ltd","   2    ","       ","       ","       ","P"
"2218","David Thompson","   1    ","   1    ","       ","       ","P"
"2219","Mr   Mrs T B Thompson","   2    ","       ","       ","       ","P"
"2220","Thornton Lodge Care Ltd","   2    ","       ","       ","       ","P"
"2221","Thorntoncare Ltd","   3    ","       ","       ","       ","P"
"2222","Thorntoun Ltd","   3    ","       ","       ","       ","P"
"2223","Thurlestone Court Ltd","   4    ","       ","       ","       ","P"
"2224","Thurrock Borough Council","   1    ","   5    ","   2    ","       ","L"
"2225","Tideswell Care Homes Ltd","   1    ","   1    ","       ","       ","P"
"2226","Timmins Brothers Ltd","   2    ","       ","       ","       ","P"
"2227","Tiphereth","   2    ","       ","       ","       ","P"
"2228","Together For Mental Wellbeing","   14   ","       ","       ","       ","V"
"2229","Together Trust","   1    ","   1    ","       ","       ","V"
"2230","Tona Enterprises Ltd","   2    ","       ","       ","       ","P"
"2231","Torbay   Southern Devon Health   Care NHS Trust","       ","   7    ","       ","       ","N"
"2232","Torcare Ltd","   3    ","       ","       ","       ","P"
"2233","Torr Home","   1    ","   1    ","       ","       ","V"
"2234","Totem Care Ltd","   2    ","       ","       ","       ","P"
"2235","Touray   Co Ltd","   2    ","       ","       ","       ","P"
"2236","London Borough of Tower Hamlets","       ","   2    ","       ","       ","L"
"2237","Townsend Life Care Ltd","   2    ","       ","       ","       ","P"
"2238","Tracscare","   77   ","       ","       ","   1    ","P"
"2239","Transform Residential Ltd","   3    ","       ","       ","       ","V"
"2240","Treasure Homes Ltd","   3    ","       ","       ","       ","P"
"2241","Trecare Group","   3    ","       ","       ","       ","P"
"2242","Trent   Dove Housing","       ","       ","   2    ","       ","V"
"2243","Triangle Community Services","       ","   3    ","   4    ","       ","V"
"2244","Tricuro Ltd","   10   ","       ","       ","       ","P"
"2245","Trident Reach The People Charity","   12   ","       ","       ","       ","V"
"2246","Trilodge Ltd","   2    ","       ","       ","       ","P"
"2247","Trinity Merchants Ltd","   2    ","       ","       ","       ","P"
"2248","Nigel Troke and Nicholas Troke","   3    ","       ","       ","       ","P"
"2249","Trust Care Management Ltd","   5    ","       ","       ","       ","P"
"2250","Trust Care Ltd","   4    ","       ","       ","       ","P"
"2251","Trust Housing Association Ltd","       ","       ","   6    ","       ","V"
"2252","Trustees Augustinian Community","   4    ","       ","       ","       ","V"
"2253","Tudor Bank Ltd","   3    ","       ","       ","       ","P"
"2254","Tullyboy Homes","   2    ","       ","       ","       ","P"
"2255","Turning Point","   35   ","       ","   1    ","   3    ","V"
"2256","Twin Valley Homes","       ","       ","   2    ","       ","P"
"2257","Twinglobe Care Ltd","   2    ","       ","       ","       ","P"
"2258","U   I Care Ltd","   2    ","       ","       ","       ","P"
"2259","UK Healthcare Group Ltd","   2    ","       ","       ","       ","P"
"2260","Mr   Mrs B Ubhee","   2    ","       ","       ","       ","P"
"2261","Unified Care Ltd","   3    ","       ","   2    ","       ","P"
"2262","United Care Ltd","   4    ","       ","       ","       ","P"
"2263","United Care  North  Ltd","   2    ","   1    ","       ","       ","P"
"2264","United Health Ltd","   11   ","       ","       ","       ","P"
"2265","United Response   North East Division","   8    ","       ","       ","       ","V"
"2266","United Response   North West Division","   14   ","       ","       ","       ","V"
"2267","United Response   South East Division","   10   ","       ","       ","       ","V"
"2268","United Response   South West Division","   12   ","       ","   1    ","       ","V"
